ZIP,SCHOOL_YEAR,school_count,abs_change,pct_growth
03224,1718,1.0,0.0,0.0
03225,1718,1.0,0.0,0.0
03227,1718,1.0,0.0,0.0
03229,1718,4.0,0.0,0.0
03230,1718,1.0,0.0,0.0
03234,1718,1.0,0.0,0.0
03235,1718,5.0,0.0,0.0
03242,1718,1.0,0.0,0.0
03243,1718,1.0,0.0,0.0
03244,1718,3.0,0.0,0.0
03245,1718,1.0,0.0,0.0
03246,1718,5.0,0.0,0.0
03249,1718,3.0,0.0,0.0
03251,1718,3.0,0.0,0.0
03253,1718,3.0,0.0,0.0
03254,1718,3.0,0.0,0.0
03256,1718,1.0,0.0,0.0
03257,1718,2.0,0.0,0.0
03258,1718,1.0,0.0,0.0
03260,1718,2.0,0.0,0.0
03261,1718,2.0,0.0,0.0
03263,1718,3.0,0.0,0.0
03264,1718,3.0,0.0,0.0
03266,1718,1.0,0.0,0.0
03268,1718,1.0,0.0,0.0
03269,1718,1.0,0.0,0.0
03275,1718,8.0,0.0,0.0
03276,1718,4.0,0.0,0.0
03278,1718,1.0,0.0,0.0
03279,1718,1.0,0.0,0.0
03280,1718,1.0,0.0,0.0
03281,1718,3.0,0.0,0.0
03282,1718,1.0,0.0,0.0
03285,1718,1.0,0.0,0.0
03290,1718,1.0,0.0,0.0
03301,1718,7.0,0.0,0.0
03303,1718,9.0,0.0,0.0
03304,1718,3.0,0.0,0.0
03307,1718,1.0,0.0,0.0
03431,1718,9.0,0.0,0.0
03440,1718,2.0,0.0,0.0
03442,1718,1.0,0.0,0.0
03443,1718,1.0,0.0,0.0
03444,1718,1.0,0.0,0.0
03446,1718,4.0,0.0,0.0
03447,1718,1.0,0.0,0.0
03448,1718,1.0,0.0,0.0
03449,1718,1.0,0.0,0.0
03450,1718,1.0,0.0,0.0
03451,1718,3.0,0.0,0.0
03452,1718,3.0,0.0,0.0
03455,1718,1.0,0.0,0.0
03456,1718,1.0,0.0,0.0
03457,1718,1.0,0.0,0.0
03458,1718,3.0,0.0,0.0
03461,1718,1.0,0.0,0.0
03464,1718,1.0,0.0,0.0
03465,1718,1.0,0.0,0.0
03467,1718,1.0,0.0,0.0
03470,1718,1.0,0.0,0.0
03561,1718,5.0,0.0,0.0
03570,1718,4.0,0.0,0.0
03574,1718,3.0,0.0,0.0
03576,1718,2.0,0.0,0.0
03579,1718,1.0,0.0,0.0
03580,1718,1.0,0.0,0.0
03581,1718,3.0,0.0,0.0
03582,1718,4.0,0.0,0.0
03583,1718,1.0,0.0,0.0
03584,1718,1.0,0.0,0.0
03585,1718,4.0,0.0,0.0
03588,1718,1.0,0.0,0.0
03590,1718,1.0,0.0,0.0
