ZIP,raw_incident_count,active_agencies,incidents_per_agency,YEAR
06612,46,1,46.0,2017
06614,2066,1,2066.0,2017
06702,8539,1,8539.0,2017
06716,465,1,465.0,2017
06762,173,1,173.0,2017
06770,1106,1,1106.0,2017
06776,770,1,770.0,2017
06786,385,1,385.0,2017
06787,234,1,234.0,2017
06790,1590,1,1590.0,2017
06795,756,1,756.0,2017
06801,334,1,334.0,2017
06804,268,1,268.0,2017
06810,2729,2,1364.5,2017
06820,378,1,378.0,2017
06830,713,1,713.0,2017
06840,238,1,238.0,2017
06854,3524,1,3524.0,2017
06877,250,1,250.0,2017
06880,527,1,527.0,2017
06883,78,1,78.0,2017
06896,149,1,149.0,2017
06897,293,1,293.0,2017
06901,4551,1,4551.0,2017
15005,161,1,161.0,2017
17011,116,1,116.0,2017
17013,872,1,872.0,2017
17025,405,1,405.0,2017
17043,196,1,196.0,2017
17050,873,2,436.5,2017
17055,437,1,437.0,2017
17070,195,1,195.0,2017
17103,176,1,176.0,2017
17201,4,1,4.0,2017
17225,46,1,46.0,2017
17236,54,1,54.0,2017
17257,202,1,202.0,2017
17268,1310,2,655.0,2017
17307,27,1,27.0,2017
17320,68,2,34.0,2017
17519,192,2,96.0,2017
19702,8645,1,8645.0,2017
19706,143,1,143.0,2017
19709,1007,1,1007.0,2017
19715,1705,1,1705.0,2017
19716,454,1,454.0,2017
19720,12255,4,3063.75,2017
19801,8666,2,4333.0,2017
19804,134,1,134.0,2017
19805,245,1,245.0,2017
19901,267,2,133.5,2017
19903,495,3,165.0,2017
19904,7642,3,2547.3333333333335,2017
19930,237,2,118.5,2017
19933,138,1,138.0,2017
19934,385,2,192.5,2017
19936,92,1,92.0,2017
19938,195,1,195.0,2017
19939,87,1,87.0,2017
19940,174,1,174.0,2017
19941,33,1,33.0,2017
19943,70,1,70.0,2017
19944,50,1,50.0,2017
19945,26,1,26.0,2017
19946,4,1,4.0,2017
19947,911,1,911.0,2017
19950,95,1,95.0,2017
19952,403,1,403.0,2017
19955,2,1,2.0,2017
19956,635,1,635.0,2017
19958,8409,2,4204.5,2017
19963,1549,1,1549.0,2017
19966,523,1,523.0,2017
19968,121,1,121.0,2017
19970,120,1,120.0,2017
19971,558,2,279.0,2017
19973,1177,2,588.5,2017
19975,224,1,224.0,2017
19977,888,1,888.0,2017
20001,3234,1,3234.0,2017
20110,2412,1,2412.0,2017
20111,559,1,559.0,2017
20112,2,1,2.0,2017
20118,22,1,22.0,2017
20132,219,1,219.0,2017
20169,82,1,82.0,2017
20172,929,1,929.0,2017
20175,8067,2,4033.5,2017
20176,2116,1,2116.0,2017
20186,2150,4,537.5,2017
20850,28792,1,28792.0,2017
22003,131,1,131.0,2017
22026,122,1,122.0,2017
22030,37184,4,9296.0,2017
22046,451,2,225.5,2017
22110,190,2,95.0,2017
22125,7,1,7.0,2017
22180,408,1,408.0,2017
22192,14204,1,14204.0,2017
22201,7195,1,7195.0,2017
22202,1736,1,1736.0,2017
